"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"75","BTT7","2018-06-13 08:00:00","A69-1602-65066",1.6,"basin","Day",0.057497,"low","seagrass",2,12
"76","BTT49","2018-06-13 08:00:00","A69-1602-65068",3,"channel","Day",0.106979,"low","seagrass",3,5
"77","BTT13","2018-06-13 08:00:00","A69-1602-65069",2.8,"basin","Day",0.294646,"low","seagrass",3,11
"78","BTT54","2018-06-13 08:00:00","A69-1602-65070",3.4,"channel","Day",0.336212,"outgoing","sand",1,10
"79","BTT46","2018-06-13 08:00:00","A69-1602-65071",2,"basin","Day",0.106979,"low","seagrass",1,0
"80","BTT17","2018-06-13 08:00:00","A69-1602-65155",3,"bank","Day",0.057497,"low","sand",1,8
"81","BTT37","2018-06-13 08:00:00","A69-1602-65067",3,"bank","Day",0.106979,"low","seagrass",3,8
"82","BTT18","2018-06-13 09:00:00","A69-1602-65064",2.1,"channel","Day",0.294646,"low","seagrass",2,2
"83","BTT27","2018-06-13 09:00:00","A69-1602-65065",2.7,"bank","Day",0.294646,"low","sand",1,0
"84","BTT7","2018-06-13 09:00:00","A69-1602-65066",1.6,"basin","Day",0.056276,"low","seagrass",2,10
"85","BTT49","2018-06-13 09:00:00","A69-1602-65068",3,"channel","Day",0.187167,"incoming","seagrass",3,4
"86","BTT13","2018-06-13 09:00:00","A69-1602-65069",2.8,"basin","Day",0.55565,"incoming","seagrass",3,11
"87","BTT54","2018-06-13 09:00:00","A69-1602-65070",3.4,"channel","Day",0.214884,"outgoing","sand",1,8
"88","BTT46","2018-06-13 09:00:00","A69-1602-65071",2,"basin","Day",0.187167,"incoming","seagrass",1,1
"89","BTT17","2018-06-13 09:00:00","A69-1602-65155",3,"bank","Day",0.056276,"low","sand",1,8
"90","BTT37","2018-06-13 09:00:00","A69-1602-65067",3,"bank","Day",0.187167,"incoming","seagrass",3,10
"91","BTT18","2018-06-13 10:00:00","A69-1602-65064",2.1,"channel","Day",0.55565,"incoming","seagrass",2,5
"92","BTT27","2018-06-13 10:00:00","A69-1602-65065",2.7,"bank","Day",0.55565,"incoming","sand",1,1
"93","BTT7","2018-06-13 10:00:00","A69-1602-65066",1.6,"basin","Day",0.194353,"low","seagrass",2,10
"94","BTT49","2018-06-13 10:00:00","A69-1602-65068",3,"channel","Day",0.289154,"incoming","seagrass",3,9
"95","BTT13","2018-06-13 10:00:00","A69-1602-65069",2.8,"basin","Day",0.816561,"incoming","seagrass",3,12
"96","BTT54","2018-06-13 10:00:00","A69-1602-65070",3.4,"channel","Day",0.137027,"low","sand",1,9
"97","BTT46","2018-06-13 10:00:00","A69-1602-65071",2,"basin","Day",0.289154,"incoming","seagrass",1,5
